SPEBR,System_generated,Contrlm job Lxhhh114 failed,3
SPEBR,System_generated,VPN access request,3
CCAP,Advertising,The PsShutdown service is marked as an interactive service,3
DNL,Tech Support,The PsShutdown service is marked as an interactive service,4
CASTER,Accounting,problem with appServer_671,4
CCAP,System_generated,situation MQ opened,4
NEM,Human Resources,VPN access request,4
CCAP,Accounting,Need 3 laptops for demo,3
VB,System_generated,Photo editing software request,3
OMM,Sales and Marketing,New employee Jim,2
DNL,System_generated,Contrlm job Lxhhh114 failed,3
SPEBR,System_generated,problem with appServer_671,3
DNL,System_generated,Contrlm job Lxhhh114 failed,3
VB,System_generated,Photo editing software request,5
DNL,Accounting,Need 3 laptops for demo,5
SPEBR,Human Resources,situation MQ opened,3
MARC,Human Resources,Typo on the public website,4
DNL,System_generated,The PsShutdown service is marked as an interactive service,4
NEM,System_generated,New employee Jim,2
CASTER,Advertising,The PsShutdown service is marked as an interactive service,3
CASTER,Sales and Marketing,The printer is not working,2
SPEBR,Sales and Marketing,VPN access request,2
MARC,Legal Department,The PsShutdown service is marked as an interactive service,3
SPEBR,Sales and Marketing,The printer is not working,4
CCAP,Tech Support,The PsShutdown service is marked as an interactive service,2
OMM,System_generated,VPN access request,5
NEM,System_generated,Contrlm job Lxhhh114 failed,3
SPEBR,Sales and Marketing,situation MQ opened,4
DNL,Sales and Marketing,Typo on the public website,4
OMM,Accounting,VPN access request,3
MARC,Payroll,Typo on the public website,2
CASTER,Payroll,New employee Jim,5
REVENESB,System_generated,Contrlm job Lxhhh114 failed,3
CASTER,Public Relations,problem with appServer_671,1
VB,Accounting,problem with appServer_671,2
VB,Payroll,VPN access request,5
SPEBR,Tech Support,Need 3 laptops for demo,4
NEM,Tech Support,situation MQ opened,5
CASTER,System_generated,Contrlm job Lxhhh114 failed,3
REVENESB,Sales and Marketing,The printer is not working,3
OMM,System_generated,The printer is not working,3
TSA,Accounting,The printer is not working,4
REVENESB,Advertising,New employee Jim,3
NEM,Advertising,New employee Jim,2
OMM,Advertising,problem with appServer_671,4
CCAP,System_generated,VPN access request,2
SPEBR,System_generated,The PsShutdown service is marked as an interactive service,2
REVENESB,Accounting,The PsShutdown service is marked as an interactive service,3
NEM,Sales and Marketing,VPN access request,3
CASTER,System_generated,VPN access request,3
NEM,Advertising,Typo on the public website,4
NEM,Payroll,Typo on the public website,3
VB,Legal Department,situation MQ opened,2
MARC,System_generated,situation MQ opened,3
VB,Legal Department,The printer is not working,1
MARC,System_generated,VPN access request,4
NEM,Accounting,Photo editing software request,4
REVENESB,System_generated,VPN access request,3
DNL,Accounting,Typo on the public website,4
SPEBR,Public Relations,VPN access request,4
CASTER,Tech Support,Need 3 laptops for demo,2
CCAP,System_generated,Photo editing software request,1
DNL,Legal Department,VPN access request,3
SPEBR,Legal Department,The PsShutdown service is marked as an interactive service,3
CASTER,System_generated,The PsShutdown service is marked as an interactive service,3
MARC,Tech Support,Need 3 laptops for demo,2
MARC,Accounting,VPN access request,3
TSA,Payroll,The printer is not working,3
DNL,System_generated,situation MQ opened,5
SPEBR,Public Relations,Photo editing software request,4
OMM,Advertising,VPN access request,1
OMM,Human Resources,Typo on the public website,3
REVENESB,Public Relations,Photo editing software request,4
NEM,Legal Department,The printer is not working,1
CASTER,System_generated,Typo on the public website,3
REVENESB,Accounting,The printer is not working,5
VB,Sales and Marketing,The PsShutdown service is marked as an interactive service,4
CASTER,System_generated,Photo editing software request,4
OMM,Accounting,VPN access request,3
VB,System_generated,Photo editing software request,4
SPEBR,System_generated,New employee Jim,4
SPEBR,Payroll,Photo editing software request,4
MARC,Tech Support,VPN access request,1
MARC,System_generated,Typo on the public website,3
